question,context,initial_answer,answer,retrieve_time_sec,generate_time_sec
What is software engineering and how does it fit into computer science?,"
[0]
Software  engineering  courses  build  on  these  foundations  in  computing  and engineering, and introduce the concepts that we cover in this book, including requirements elicitation, software design principles, technical documentation, project management, testing, and verification. In addition, a software engineering curriculum is likely to  include  nontechnical  courses  in  communications, humanities, and  social  sciences. Software engineering projects tend to involve large numbers of people, so software engineers need to understand the dynamics of group interaction to know how to motivate individuals to pursue a common goal. They need to consider the impact of their technology on users and on society as a whole, and they may need to make decisions that take human and social values into account. They may also have to interact with specialists  from  other  disciplines  who  have  varied  levels  of  software  expertise. This work calls for strong communication, business, and reasoning skills.

As such, software engineering is more general, is more applied, and has a broader scope than computer science. At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific  application  domains. In  contrast, software  engineering  focuses  on building software products. It looks at all the activities involved in developing a software

system from initial idea to final product. Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems.


[1]
## Software Engineering Education

Historically, software engineering has been considered a relatively small aspect of computer science. At best, a university computer science curriculum included a course on software  engineering, usually  offered  in  the  junior  or  senior  year. At  the  least, it included several lectures on the meaning and intent of software engineering. With the increasing emphasis on software quality and security, and with the recent push to professionalize software developers, universities have increasingly viewed software engineering as a distinct academic discipline. There are now many ways in which a student can navigate through a university curriculum and end up with a software engineering education:

- Specializing in software engineering as part of a computer science major
- Specializing in software engineering as part of a computer engineering major
- Specializing in software engineering as part of an engineering major
- Majoring in software engineering as a separate degree from computer science or computer engineering

As Table 14.6 shows, a software engineering program borrows from both computer science and engineering curricula. Computer science courses provide the technical  knowledge  and  expertise  needed  to  create  and  manipulate  software  artifacts: programming  principles; data  structures; algorithm  paradigms; programming  languages; grammars, parsing, and translation; concurrency and control structures; and the theoretical limits of computing. In addition, computer science and computer engineering courses cover key system components (e.g., computer architecture, operating system, middleware, networks)  and  key  software  components  (e.g., databases, user interfaces), and how the design and implementation of these components can affect the performance, usability, and quality of our software.
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""As such, software engineering is more general, is more applied, and has a broader scope than computer science."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""As such, software engineering is more general, is more applied, and has a broader scope than computer science."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific application domains."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific application domains."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""In  contrast, software  engineering  focuses  on  building software products."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""In  contrast, software  engineering  focuses  on  building software products."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""It looks at all the activities involved in developing a software system from initial idea to final product."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""It looks at all the activities involved in developing a software system from initial idea to final product."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""Historically, software engineering has been considered a relatively small aspect of computer science."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Historically, software engineering has been considered a relatively small aspect of computer science."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""There are now many ways in which a student can navigate through a university curriculum and end up with a software engineering education:"",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""There are now many ways in which a student can navigate through a university curriculum and end up with a software engineering education:"",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""- Specializing in software engineering as part of a computer science major"",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""- Specializing in software engineering as part of a computer science major"",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""- Specializing in software engineering as part of a computer engineering major"",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""- Specializing in software engineering as part of a computer engineering major"",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""- Specializing in software engineering as part of an engineering major"",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""- Specializing in software engineering as part of an engineering major"",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""- Majoring in software engineering as a separate degree from computer science or computer engineering."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""- Majoring in software engineering as a separate degree from computer science or computer engineering."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""As Table 14.6 shows, a software engineering program borrows from both computer science and engineering curricula."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""As Table 14.6 shows, a software engineering program borrows from both computer science and engineering curricula."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""Computer science courses provide the technical  knowledge  and  expertise  needed  to  create  and  manipulate  software  artifacts: programming  principles; data  structures; algorithm  paradigms; programming  languages; grammars, parsing, and translation; concurrency and control structures; and the theoretical limits of computing."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Computer science courses provide the technical  knowledge  and  expertise  needed  to  create  and  manipulate  software  artifacts: programming  principles; data  structures; algorithm  paradigms; programming  languages; grammars, parsing, and translation; concurrency and control structures; and the theoretical limits of computing."",
                ""img_id"": null
            }
        ],
        ""type"": null
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""In addition, computer science and computer engineering courses cover key system components (e.g., computer architecture, operating system, middleware, networks)  and  key  software  components (e.g., databases, user interfaces), and how the design and implementation of these components can affect the performance, usability, and quality of our software."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""In addition, computer science and computer engineering courses cover key system components (e.g., computer architecture, operating system, middleware, networks)  and  key  software  components (e.g., databases, user interfaces), and how the design and implementation of these components can affect the performance, usability, and quality of our software."",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]","As such, software engineering is more general, is more applied, and has a broader scope than computer science. At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific application domains. In  contrast, software  engineering  focuses  on  building software products. It looks at all the activities involved in developing a software system from initial idea to final product. Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems. Historically, software engineering has been considered a relatively small aspect of computer science. There are now many ways in which a student can navigate through a university curriculum and end up with a software engineering education: - Specializing in software engineering as part of a computer science major - Specializing in software engineering as part of a computer engineering major - Specializing in software engineering as part of an engineering major - Majoring in software engineering as a separate degree from computer science or computer engineering. As Table 14.6 shows, a software engineering program borrows from both computer science and engineering curricula. Computer science courses provide the technical  knowledge  and  expertise  needed  to  create  and  manipulate  software  artifacts: programming  principles; data  structures; algorithm  paradigms; programming  languages; grammars, parsing, and translation; concurrency and control structures; and the theoretical limits of computing. In addition, computer science and computer engineering courses cover key system components (e.g., computer architecture, operating system, middleware, networks)  and  key  software  components (e.g., databases, user interfaces), and how the design and implementation of these components can affect the performance, usability, and quality of our software.",1.314,67.357
What is the difference between technical and business quality? Explain why each is important.,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,1.971,6.309
Give two or three examples of fail ures you have encountered while using software.  Describe how these failures affected the quality of the software product.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.503,9.788
Examine failures that have occurred in software that you have written.  Identify and list the faults and errors that caused each failure.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.519,8.055
"Look through several issues of software magazines (IEEE Computer and IEEE Software are good choices) from the 1970's, 1980's and recent issues.  Compare the types of problems and solutions described in the older issues with those described in the more  recent issues.",,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.512,6.717
Describe the process you use to get to ready for class or work in the morning. Draw a diagram to capture the process.,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.347,5.512
"Describe three software development life - cycle models. For each, name the main activities performed, and the inputs and outputs of each activity. For each give an example of the kind of software development project where the life - cycle model would be well - suited, and an example of where the life - cycle model would be inappropriate; explain why.",,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.78,7.682
What is the difference between static and dynamic modeling? Explain how each type of modeling is useful.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.453,7.623
"Use the five desirable properties of process modeling tools and techniques identified by Curtis, Kellner and Over(1992) and presented in Section 2.4 of the textbook to evaluate one process modeling tool or technique. You may use an example from the book and/or consult outside sources.","
[0]
## Desirable Properties of Process Modeling Tools and Techniques

There are many process modeling tools and techniques, and researchers continue to work to determine which ones are most appropriate for a given situation. But there are some characteristics that are helpful, regardless of technique. Curtis, Kellner, and Over (1992) have identified five categories of desirable properties:

1. Facilitates  human understanding and communication. The technique should be able to represent the process in a form that most customers and developers can understand, encouraging communication about the process and agreement on its form and improvements. The technique should include sufficient information to allow one or more people to actually perform the process.And the model or tool should form a basis for training.
2. Supports process improvement. The technique should identify the essential components of a development or maintenance process. It should allow reuse of processes

or  subprocesses  on  subsequent  projects, compare  alternatives, and  estimate  the impact of changes before the process is actually put into practice. Similarly, the technique should assist in selecting tools and techniques for the process, in encouraging organizational learning, and in supporting continuing evolution of the process.

3. Supports  process  management. The  technique  should  allow  the  process  to  be project-specific. Then, developers and customers should be able to reason about attributes of software creation or evolution. The technique should also support planning and forecasting, monitoring and managing the process, and measuring key process characteristics.
4. Provides automated guidance in performing the process. The technique should define all or part of the software development environment, provide guidance and suggestions, and retain reusable process representations for later use.
5. Supports automated process execution. The technique should automate all or part of  the  process, support  cooperative work, capture relevant measurement data, and enforce rules to ensure process integrity.
","[
    {
        ""role"": ""paragraph"",
        ""segment"": ""To evaluate a process modeling tool or technique, apply the five desirable properties identified by Curtis, Kellner, and Over (1992): 1. Facilitates  human understanding and communication. The technique should be able to represent the process in a form that most customers and developers can understand, encouraging communication about the process and agreement on its form and improvements. The technique should include sufficient information to allow one or more people to actually perform the process. And the model or tool should form a basis for training. 2. Supports  process improvement. The technique should identify the essential components of a development or maintenance process. It should allow reuse of processes or subprocesses on subsequent projects, compare alternatives, and estimate the impact of changes before the process is actually put into practice. Similarly, the technique should assist in selecting tools and techniques for the process, in encouraging organizational learning, and in supporting continuing evolution of the process. 3. Supports  process management. The technique should allow the process to be project-specific. Then, developers and customers should be able to reason about attributes of software creation or evolution. The technique should also support planning and forecasting, monitoring and managing the process, and measuring key process characteristics. 4. Provides automated guidance in performing the process. The technique should define all or part of the software development environment, provide guidance and suggestions, and retain reusable process representations for later use. 5. Supports automated process execution. The technique should automate all or part of the process, support cooperative work, capture relevant measurement data, and enforce rules to ensure process integrity."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Curtis, Kellner, and Over (1992) have identified five categories of desirable properties:"",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""1. Facilitates  human understanding and communication."",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""2. Supports  process improvement."",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""3. Supports  process management."",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""4. Provides automated guidance in performing the process."",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""5. Supports automated process execution."",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]","To evaluate a process modeling tool or technique, apply the five desirable properties identified by Curtis, Kellner, and Over (1992): 1. Facilitates  human understanding and communication. The technique should be able to represent the process in a form that most customers and developers can understand, encouraging communication about the process and agreement on its form and improvements. The technique should include sufficient information to allow one or more people to actually perform the process. And the model or tool should form a basis for training. 2. Supports  process improvement. The technique should identify the essential components of a development or maintenance process. It should allow reuse of processes or subprocesses on subsequent projects, compare alternatives, and estimate the impact of changes before the process is actually put into practice. Similarly, the technique should assist in selecting tools and techniques for the process, in encouraging organizational learning, and in supporting continuing evolution of the process. 3. Supports  process management. The technique should allow the process to be project-specific. Then, developers and customers should be able to reason about attributes of software creation or evolution. The technique should also support planning and forecasting, monitoring and managing the process, and measuring key process characteristics. 4. Provides automated guidance in performing the process. The technique should define all or part of the software development environment, provide guidance and suggestions, and retain reusable process representations for later use. 5. Supports automated process execution. The technique should automate all or part of the process, support cooperative work, capture relevant measurement data, and enforce rules to ensure process integrity.",0.443,46.97
Explain the difference between prescriptive and descriptive process models. What is the purpose for each? When is it appropriate to use each?,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.623,6.505
